@relation solicitantes

@attribute edad_del_peticionario real
@attribute nivel_de_estudios {ninguno, licenciatura, posgrado}
@attribute nivel_de_renta {alto, medio, bajo}
@attribute patrimonio {alto, medio, bajo}
@attribute numero_de_hijos real
@attribute tamano_del_credito real
@attribute funcionario {si, no}
@attribute autorizado {si, no}

@data
56,ninguno,medio,bajo,3,73774,si,si
23,licenciatura,alto,alto,1,92973,si,si
20,ninguno,medio,alto,3,58007,si,si
34,licenciatura,medio,medio,1,1344,si,si
29,ninguno,medio,alto,0,12188,si,si
43,ninguno,bajo,bajo,6,1240,no,si
56,posgrado,medio,medio,0,40878,si,si
26,ninguno,medio,bajo,2,11435,si,no
29,licenciatura,bajo,bajo,6,8404,no,no
27,ninguno,medio,alto,1,95812,si,si
25,licenciatura,medio,alto,0,33909,si,si
30,licenciatura,medio,medio,0,70400,si,no
45,ninguno,bajo,bajo,5,10872,no,si
38,ninguno,bajo,bajo,4,17140,no,no
35,licenciatura,alto,bajo,1,35191,si,si
47,ninguno,bajo,bajo,3,5396,no,si
30,ninguno,medio,bajo,2,6948,si,si
23,licenciatura,medio,medio,1,72180,si,si
23,licenciatura,bajo,bajo,2,16033,no,no
46,ninguno,bajo,bajo,5,3754,no,no
40,licenciatura,medio,alto,3,88198,si,si
52,ninguno,bajo,bajo,2,16969,no,no
56,ninguno,bajo,alto,2,4409,si,no
38,licenciatura,medio,medio,2,18255,si,si
59,posgrado,medio,medio,1,96141,si,si
53,ninguno,medio,medio,1,22742,si,si
22,ninguno,bajo,bajo,3,15211,no,no
53,posgrado,alto,medio,1,67745,si,si
41,ninguno,bajo,bajo,2,10266,no,si
20,licenciatura,bajo,bajo,2,3056,no,no
39,licenciatura,medio,alto,1,43790,si,si
58,ninguno,medio,alto,2,2135,si,si
51,ninguno,bajo,bajo,1,1671,no,no
36,posgrado,medio,medio,1,46154,si,si
49,posgrado,alto,medio,2,80638,si,si
52,ninguno,bajo,bajo,3,7970,no,no
52,ninguno,bajo,bajo,2,12716,no,si
45,ninguno,bajo,bajo,4,10280,si,si
44,ninguno,bajo,bajo,6,18771,si,no
44,posgrado,medio,alto,3,8061,si,si
29,licenciatura,bajo,bajo,1,17672,si,si
34,licenciatura,alto,alto,2,3499,si,si
57,ninguno,bajo,bajo,1,3127,no,no
30,ninguno,medio,alto,2,53125,si,si
34,licenciatura,medio,bajo,0,81035,si,si
60,ninguno,bajo,bajo,5,12698,no,no
55,posgrado,medio,medio,1,88251,si,si
50,ninguno,bajo,bajo,3,4488,no,no
24,licenciatura,bajo,bajo,6,16249,no,no
30,licenciatura,medio,bajo,3,46954,si,si
23,licenciatura,bajo,bajo,2,14009,no,no
52,ninguno,medio,medio,3,35893,si,si
60,posgrado,alto,alto,0,20300,no,no
59,posgrado,medio,alto,1,57782,si,si
52,ninguno,bajo,bajo,3,17932,no,no
40,licenciatura,medio,medio,1,85121,si,no
28,licenciatura,medio,bajo,3,41417,si,si
59,posgrado,medio,bajo,0,47898,si,si
49,posgrado,medio,medio,1,11473,si,si
57,posgrado,medio,bajo,1,18171,no,no
43,posgrado,medio,alto,1,64658,si,no
45,posgrado,medio,alto,2,51367,si,si
47,ninguno,bajo,bajo,4,8979,si,si
28,licenciatura,bajo,bajo,6,17860,no,no
28,licenciatura,medio,medio,0,29298,no,no
30,licenciatura,medio,medio,2,13700,si,si
20,licenciatura,bajo,bajo,1,16994,no,no
23,licenciatura,bajo,bajo,6,10815,no,no
23,licenciatura,alto,medio,2,33986,si,si
52,posgrado,medio,bajo,0,14310,si,si
23,licenciatura,medio,bajo,2,74543,si,si
54,ninguno,bajo,bajo,3,6088,no,no
35,ninguno,medio,medio,1,29473,si,si
26,licenciatura,medio,medio,0,75504,si,si
30,ninguno,medio,alto,0,12942,si,si
47,ninguno,bajo,bajo,3,14892,no,no
48,ninguno,medio,medio,0,33604,si,si
60,posgrado,medio,medio,2,92575,si,si
58,ninguno,bajo,bajo,3,8185,no,no
31,licenciatura,alto,alto,2,97114,si,si
57,ninguno,bajo,bajo,6,13973,no,no
36,licenciatura,medio,bajo,2,96541,si,si
32,licenciatura,medio,medio,3,27830,si,si
32,licenciatura,bajo,bajo,4,7571,no,si
23,licenciatura,bajo,medio,5,8255,si,no
58,ninguno,bajo,bajo,3,7249,no,no
58,ninguno,bajo,bajo,1,8929,si,si
38,licenciatura,bajo,bajo,5,3262,no,no
27,licenciatura,medio,alto,0,24839,si,no
58,posgrado,medio,alto,0,95244,si,no
28,licenciatura,medio,alto,3,28865,si,si
50,ninguno,bajo,medio,5,4083,si,no
33,licenciatura,bajo,bajo,4,16444,no,no
27,ninguno,medio,bajo,2,40365,si,si
44,ninguno,bajo,bajo,5,3858,no,no
58,posgrado,medio,medio,2,78099,si,si
32,licenciatura,medio,bajo,2,42143,no,no
31,ninguno,medio,bajo,2,15325,si,si
44,ninguno,bajo,bajo,6,7257,no,si
55,posgrado,medio,bajo,3,56233,si,si
31,licenciatura,alto,medio,1,55998,si,si
24,licenciatura,bajo,bajo,5,12294,no,no
49,posgrado,alto,bajo,1,70145,si,si
60,posgrado,medio,medio,1,44558,si,si
31,licenciatura,bajo,bajo,3,4276,no,no
56,ninguno,bajo,bajo,1,2675,no,no
30,ninguno,medio,medio,3,42443,no,si
57,posgrado,medio,bajo,2,54353,si,si
35,posgrado,medio,medio,3,72322,si,si
32,licenciatura,medio,medio,0,54133,si,si
41,ninguno,bajo,bajo,1,7378,si,no
25,licenciatura,medio,medio,0,88022,si,si
47,ninguno,bajo,bajo,6,14947,no,no
53,ninguno,bajo,bajo,3,4067,no,si
40,licenciatura,bajo,bajo,3,838,no,no
39,ninguno,alto,medio,1,52818,no,si
27,licenciatura,medio,alto,2,13340,no,si
32,ninguno,medio,medio,3,37182,si,si
55,ninguno,bajo,bajo,4,6004,si,si
28,ninguno,bajo,bajo,6,9884,no,no
45,posgrado,medio,medio,1,6440,si,si
60,ninguno,bajo,medio,2,4765,no,no
60,ninguno,bajo,bajo,5,12711,no,no
42,posgrado,bajo,bajo,5,13941,si,si
60,ninguno,bajo,bajo,5,1775,no,no
38,posgrado,medio,bajo,2,59096,si,si
46,ninguno,bajo,bajo,6,12040,no,no
58,posgrado,alto,alto,3,99808,si,si
43,posgrado,medio,medio,0,38582,si,si
49,posgrado,bajo,bajo,2,2920,no,no
52,posgrado,alto,medio,2,41782,no,no
45,ninguno,medio,medio,0,72458,si,si
41,ninguno,medio,medio,0,90012,si,si
37,ninguno,alto,alto,2,7952,no,si
55,ninguno,bajo,medio,3,17541,no,no
59,posgrado,medio,alto,2,22905,si,si
38,ninguno,medio,medio,0,9590,si,si
60,ninguno,bajo,bajo,2,2601,no,no
27,posgrado,medio,bajo,3,21010,si,si
47,posgrado,alto,alto,3,29892,si,si
43,ninguno,medio,medio,3,27459,si,si
59,ninguno,bajo,medio,6,13814,si,si
58,ninguno,bajo,bajo,2,13228,si,no
43,ninguno,bajo,bajo,2,7528,no,no
21,licenciatura,medio,alto,3,88859,si,si
29,ninguno,medio,bajo,3,43751,si,si
25,ninguno,bajo,bajo,3,9816,si,si
31,licenciatura,bajo,medio,4,4220,no,si
40,licenciatura,medio,medio,3,29971,no,no
44,ninguno,bajo,bajo,2,8825,no,si
27,licenciatura,medio,alto,3,62689,si,si
37,licenciatura,alto,medio,3,93769,si,si
36,licenciatura,medio,alto,3,15022,no,no
33,licenciatura,medio,alto,3,25915,si,si
49,ninguno,bajo,bajo,4,15303,no,no
56,posgrado,medio,medio,0,14465,si,no
60,ninguno,bajo,bajo,4,505,si,no
35,licenciatura,bajo,bajo,2,3658,no,si
45,ninguno,medio,medio,1,88679,si,si
40,licenciatura,medio,medio,3,14223,si,si
29,ninguno,bajo,bajo,6,13027,no,no
37,licenciatura,bajo,bajo,6,4205,no,no
42,ninguno,bajo,bajo,1,1748,no,no
36,licenciatura,bajo,bajo,1,1632,no,si
45,ninguno,bajo,bajo,6,8513,no,si
34,licenciatura,medio,alto,3,9668,si,si
48,posgrado,alto,medio,3,39595,si,si
55,ninguno,medio,medio,0,72371,si,si
40,ninguno,medio,bajo,3,26073,si,no
23,licenciatura,medio,medio,0,42608,si,si
43,ninguno,bajo,bajo,6,7203,si,no
52,ninguno,bajo,bajo,1,12773,no,no
44,ninguno,bajo,bajo,4,14010,no,no
38,ninguno,medio,medio,0,53428,si,no
21,licenciatura,medio,bajo,2,53856,si,si
40,licenciatura,medio,bajo,1,46813,si,si
27,licenciatura,medio,alto,3,29553,no,no
24,licenciatura,medio,bajo,1,47577,si,si
29,ninguno,medio,alto,1,51751,si,si
43,ninguno,bajo,bajo,6,15151,no,no
21,licenciatura,medio,alto,0,9352,si,si
30,licenciatura,bajo,medio,5,16262,no,si
32,licenciatura,medio,alto,0,57795,no,si
59,ninguno,bajo,bajo,6,1176,no,no
32,licenciatura,medio,alto,0,23811,si,no
34,licenciatura,alto,medio,2,23011,si,si
28,ninguno,alto,medio,0,50289,si,si
42,ninguno,bajo,alto,6,16783,si,no
27,ninguno,medio,medio,0,30037,no,no
36,licenciatura,medio,bajo,2,55137,si,si
54,ninguno,bajo,bajo,2,8772,no,si
40,licenciatura,medio,medio,3,28676,si,si
21,licenciatura,medio,medio,1,39074,si,si
55,posgrado,bajo,bajo,3,2431,no,no
46,posgrado,medio,medio,3,24865,si,si
30,licenciatura,medio,alto,1,77776,si,si
33,ninguno,medio,alto,2,41891,si,si
41,ninguno,bajo,bajo,3,3934,si,no
35,licenciatura,medio,alto,2,43683,si,si
47,ninguno,bajo,bajo,3,8795,no,no
20,ninguno,medio,alto,2,22483,si,no
55,ninguno,bajo,bajo,2,10469,no,no
25,licenciatura,medio,alto,2,70726,si,no
38,licenciatura,bajo,bajo,4,10048,si,no
24,ninguno,medio,bajo,3,95050,si,si
47,posgrado,bajo,bajo,6,13365,no,no
59,ninguno,bajo,bajo,6,6603,no,no
25,ninguno,medio,medio,3,74919,si,no
53,ninguno,medio,alto,0,81585,si,no
36,ninguno,bajo,medio,5,3976,si,no
45,ninguno,medio,medio,2,12133,si,si
53,posgrado,medio,alto,1,56132,si,si
46,ninguno,bajo,alto,5,14532,si,no
41,ninguno,bajo,medio,1,9213,si,no
41,ninguno,bajo,bajo,5,17324,no,no
40,licenciatura,medio,medio,1,87844,si,si
34,posgrado,bajo,bajo,3,3653,no,no
43,ninguno,bajo,bajo,4,17045,no,no
38,ninguno,alto,medio,1,85785,no,no
40,licenciatura,bajo,bajo,6,1227,no,no
40,licenciatura,medio,bajo,2,32178,si,si
34,licenciatura,alto,bajo,2,14283,si,no
54,ninguno,bajo,bajo,1,2064,no,si
28,licenciatura,medio,bajo,3,96688,si,si
24,licenciatura,bajo,bajo,4,15651,no,no
26,licenciatura,bajo,bajo,5,15532,si,no
36,licenciatura,medio,alto,1,75811,si,si
47,posgrado,medio,medio,2,92379,si,si
60,ninguno,medio,bajo,0,69707,si,si
32,ninguno,medio,bajo,1,40258,si,si
58,posgrado,medio,alto,1,48784,si,si
35,posgrado,medio,alto,2,87672,si,si
52,ninguno,bajo,bajo,6,14818,no,no
26,ninguno,bajo,bajo,4,18752,no,no
44,ninguno,bajo,bajo,6,13167,si,si
59,posgrado,alto,bajo,1,17500,si,si
24,licenciatura,bajo,bajo,4,5385,no,no
53,ninguno,bajo,bajo,2,18679,no,no
34,licenciatura,medio,alto,2,38027,no,no
32,licenciatura,bajo,medio,3,19403,si,si
32,licenciatura,medio,medio,0,11223,no,si
54,ninguno,bajo,bajo,2,15942,no,no
48,ninguno,bajo,medio,2,8948,si,no
30,licenciatura,medio,alto,0,75736,si,no
57,ninguno,medio,medio,1,11197,si,si
37,licenciatura,medio,medio,3,34330,si,si
28,licenciatura,medio,medio,3,13499,si,si
52,ninguno,bajo,bajo,5,12883,no,no
41,ninguno,bajo,bajo,2,1522,no,no
41,ninguno,bajo,bajo,3,12870,no,si
44,ninguno,bajo,bajo,4,1319,no,si
20,ninguno,bajo,bajo,6,15945,no,no
37,ninguno,medio,bajo,0,41642,si,si
31,ninguno,bajo,bajo,2,5630,si,si
53,ninguno,bajo,bajo,2,3841,si,no
37,licenciatura,bajo,bajo,3,4317,no,no
36,licenciatura,medio,medio,2,48722,si,si
21,licenciatura,alto,medio,1,88915,si,si
53,ninguno,bajo,bajo,5,4796,no,si
23,licenciatura,bajo,bajo,2,13599,no,no
58,ninguno,bajo,medio,4,12541,si,no
22,licenciatura,bajo,bajo,4,11256,no,no
40,licenciatura,bajo,bajo,3,836,no,si
56,ninguno,bajo,bajo,4,10248,no,no
41,posgrado,medio,bajo,1,30880,si,si
50,ninguno,alto,bajo,1,95914,si,si
20,licenciatura,medio,medio,1,81054,si,no
21,licenciatura,alto,medio,2,67647,si,si
55,ninguno,bajo,bajo,4,11898,no,no
38,ninguno,bajo,bajo,3,17060,no,no
27,licenciatura,bajo,bajo,6,6853,no,no
33,licenciatura,medio,bajo,3,36389,si,no
34,licenciatura,medio,medio,0,57743,si,si
44,ninguno,bajo,bajo,1,10118,no,no
44,posgrado,bajo,bajo,6,686,no,no
56,ninguno,bajo,bajo,6,4621,no,no
30,licenciatura,alto,bajo,2,91824,si,si
21,licenciatura,medio,medio,2,2105,si,si
44,ninguno,bajo,bajo,3,1380,si,si
40,licenciatura,bajo,alto,6,8584,no,no
50,posgrado,medio,medio,0,93604,si,si
20,licenciatura,bajo,bajo,5,3808,no,no
23,licenciatura,medio,medio,1,18127,si,si
42,ninguno,medio,alto,3,56084,si,si
45,ninguno,bajo,medio,2,8044,si,si
51,ninguno,bajo,bajo,6,4320,si,si
27,licenciatura,alto,medio,2,1084,si,no
36,posgrado,medio,alto,0,7960,si,si
24,licenciatura,medio,medio,0,67287,si,si
48,posgrado,alto,medio,1,14372,no,no
45,ninguno,bajo,bajo,6,5998,no,no
43,ninguno,bajo,bajo,2,6418,si,no
27,licenciatura,bajo,bajo,4,7085,si,si
58,ninguno,medio,alto,3,70356,si,no
56,ninguno,bajo,bajo,3,8934,no,no
28,ninguno,medio,bajo,1,30218,si,si
22,licenciatura,medio,medio,0,47415,si,si
52,ninguno,bajo,bajo,6,8853,no,si
44,ninguno,bajo,bajo,1,18151,no,si
37,licenciatura,alto,alto,0,63736,si,si
57,ninguno,bajo,bajo,4,18996,no,no
40,licenciatura,bajo,medio,6,1510,si,no
22,licenciatura,medio,alto,2,29434,si,no
58,ninguno,bajo,medio,1,15013,si,no
38,ninguno,medio,medio,1,13077,si,si
45,ninguno,bajo,bajo,4,13504,no,no
23,ninguno,bajo,bajo,4,2833,no,no
34,licenciatura,medio,medio,1,71148,si,si
56,posgrado,alto,medio,3,52437,si,si
25,ninguno,bajo,bajo,5,1666,no,no
49,ninguno,bajo,bajo,5,10807,no,no
35,ninguno,medio,bajo,3,61162,si,si
28,ninguno,medio,bajo,1,91269,si,si
54,ninguno,medio,alto,0,30100,si,si
32,licenciatura,alto,alto,2,13117,no,no
51,posgrado,medio,medio,2,98906,si,si
21,licenciatura,bajo,medio,5,9904,si,si
46,posgrado,medio,bajo,2,63391,si,si
57,ninguno,bajo,bajo,3,2817,si,no
56,ninguno,medio,alto,0,31405,si,no
29,licenciatura,medio,bajo,2,16678,si,si
25,licenciatura,alto,medio,2,874,si,no
25,licenciatura,medio,alto,1,58979,si,si
57,ninguno,bajo,bajo,5,16134,no,no
46,posgrado,medio,alto,1,29495,si,si
55,ninguno,bajo,medio,5,15946,si,si
21,licenciatura,bajo,bajo,4,10926,no,si
30,licenciatura,bajo,bajo,6,19933,no,no
27,posgrado,alto,alto,0,3269,si,si
33,licenciatura,bajo,bajo,6,9914,no,no
48,ninguno,medio,alto,0,1662,si,si
29,licenciatura,medio,bajo,2,2599,si,si
28,licenciatura,medio,alto,2,79373,si,no
28,licenciatura,bajo,bajo,5,15611,no,no
50,posgrado,medio,bajo,2,96080,si,si
33,licenciatura,medio,medio,0,57627,si,si
38,ninguno,medio,medio,1,17721,si,si
32,licenciatura,medio,alto,1,55251,si,no
47,ninguno,bajo,bajo,3,1731,si,no
28,licenciatura,medio,medio,0,58674,si,si
53,posgrado,alto,alto,0,14792,si,si
35,licenciatura,medio,medio,0,63425,si,si
49,ninguno,bajo,bajo,6,604,no,no
23,ninguno,bajo,bajo,4,6815,no,no
58,ninguno,bajo,bajo,6,747,no,no
57,posgrado,medio,alto,0,76403,si,si
23,licenciatura,medio,alto,0,34849,si,si
50,ninguno,bajo,bajo,4,3578,no,no
57,posgrado,medio,medio,2,76441,si,si
23,licenciatura,medio,bajo,2,11729,si,si
36,ninguno,medio,medio,2,47461,no,si
